,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
217635_s_at,,,0.041742989451897,0.8677868519263553,,0.0,0.5414525558753829,0.6639948105525715,0.0,0.3013618416069886
202216_x_at,,,0.051381631482272,0.7757135851228584,,0.0,0.6715280334994781,0.5338487172500254,0.0,0.30134418768737586
35160_at,,,0.0375590041623901,0.9076768216092572,,0.0,0.4849888047380637,0.720379512610189,0.0,0.30134207933706314
203859_s_at,,,0.036422189717541,0.9185073702841752,,0.0,0.4696472575141168,0.735688555585409,0.0,0.30133395327488144
209794_at,,,0.0302223190997518,0.9776662101874798,,0.0,0.3859787148630781,0.8193099167581122,0.0,0.3013221579052976
207402_at,,,0.0281827281350864,0.9970828387055988,,0.0,0.35845401085907236,0.8467554330786432,0.0,0.30130236098442886
203693_s_at,,,0.039543091073483,0.8885483490694974,,0.0,0.5117644700024042,0.6933413064258915,0.0,0.30127644410707394
221616_s_at,,,0.0291005353296541,0.988212036180877,,0.0,0.37084000971907766,0.8342165025819679,0.0,0.3012641280752614
206615_s_at,,,0.0323135843413824,0.9575006702120868,,0.0,0.4142007739754016,0.7908058097762792,0.0,0.3012516459379202
209926_at,,,0.0330275308839389,0.950635946252201,,0.0,0.4238356309633933,0.7811024828932845,0.0,0.3012345284641694
205958_x_at,,,0.0259556238047909,1.0181479555689446,,0.0,0.3283987750106042,0.8765310971764214,0.0,0.3012324680467564
211675_s_at,,,0.0301718020198962,0.9778177570867748,,0.0,0.3852969763702817,0.8195241291737251,0.0,0.3012052763860017
212991_at,,,0.0359622813230102,0.9224944657187611,,0.0,0.46344069813641603,0.7413243379623201,0.0,0.301191259024684
212120_at,,,0.0433962449394266,0.8515151181621804,,0.0,0.5637635823143119,0.6409946210927351,0.0,0.30118955085176174
215028_at,,,0.0351381816068953,0.9303426539515732,,0.0,0.45231930117554603,0.7524177972634156,0.0,0.3011842746097404
207780_at,,,0.027516511332408296,1.0031003651589023,,0.0,0.3494632766315267,0.8552612414031551,0.0,0.30118112950867043
213563_s_at,,,0.0284385334676625,0.994250222707838,,0.0,0.3619061569921861,0.8427515140396714,0.0,0.3011644177579644
214292_at,,,0.037418580926545104,0.9084761397937494,,0.0,0.48309376398289333,0.7215093534709391,0.0,0.30115077936345813
210388_at,,,0.0339002712648625,0.9420597036773244,,0.0,0.4356134438059826,0.7689799145834483,0.0,0.3011483395973577
211980_at,,,0.0440136335617889,0.8454550439644539,,0.0,0.572095370099394,0.6324286712862521,0.0,0.30113101034641154
222358_x_at,,,0.038854242464859,0.8946631820219891,,0.0,0.5024683148495218,0.701984658047844,0.0,0.30111324322434146
203950_s_at,,,0.0333036233322036,0.9476441735157316,,0.0,0.42756155593946993,0.7768735948868282,0.0,0.3011087877065745
216248_s_at,,,0.0201226003500906,1.0734689962891026,,0.0,0.2496809110758677,0.9547277070841108,0.0,0.3011021545399946
211585_at,,,0.0275338513825117,1.0025937651535055,,0.0,0.34969728421185997,0.8545451593756741,0.0,0.3010606108968835
221238_at,,,0.0199878745055201,1.074468408379349,,0.0,0.24786275780016861,0.9561403818339107,0.0,0.30100078490851984
204883_s_at,,,0.0340053666109204,0.9406159997681052,,0.0,0.4370317273454553,0.7669392307867987,0.0,0.3009927395330635
214704_at,,,0.0265583450368847,1.0116883266660357,,0.0,0.3365326233153466,0.8674003744912797,0.0,0.30098324945165655
216059_at,,,0.0326199171972897,0.9537846704400496,,0.0,0.41833479953818564,0.7855532226808746,0.0,0.30097200555476505
216986_s_at,,,0.03176017856731845,0.961945779057494,,0.0,0.406732448027156,0.7970889967492037,0.0,0.30095536119408994
216857_at,,,0.020219609957690926,1.072077185480995,,0.0,0.2509900758942075,0.9527603744849746,0.0,0.30093761259479557
217017_at,,,0.0334767443540048,0.9454967734133006,,0.0,0.4298978601124641,0.7738382324652325,0.0,0.3009340231444242
220298_s_at,,,0.0302376186777813,0.9764109388548275,,0.0,0.386185185848655,0.8175355834944946,0.0,0.30093019233578744
216584_at,,,0.0388709291837648,0.8939561007534536,,0.0,0.5026935055895462,0.7009851945994175,0.0,0.30091967504724093
